PMID,Title,Abstract
40175445,A two-sample Mendelian randomization study of type 1 diabetes and the risk of 22 site-specific cancers.,"Previous observational studies have suggested a potential link between Type 1 Diabetes (T1D) and site-specific cancer risk. However, the nature of this association remains uncertain due to confounding factors, reverse causation, and biases inherent in observational research. To address this gap, we conducted a two-sample Mendelian randomization (MR) study to assess the causal relationship between T1D and 22 site-specific cancers. Using summary statistics from large-scale genome-wide association studies of European ancestry, comprising data on T1D (N = 520,580) and the 22 site-specific cancers, we selected single nucleotide polymorphisms strongly associated with T1D as instruments for our analysis. Causal relationships were primarily evaluated through inverse-variance weighting-based analyses, supplemented by three additional methods: MR-Egger, weighted median, and mode-based estimate. Sensitivity analyses were performed, excluding genetic variants with potential pleiotropic effects. The finding demonstrated a causal association between T1D and increased risks of lung cancer (OR = 1.018, 95% CI 1.004-1.033, p = 0.011), colorectal cancer (OR = 1.022, 95% CI 1.003-1.041, p = 0.019), and prostate cancer (OR = 1.018, 95% CI 1.005-1.030, p = 0.006). Conversely, T1D was associated with decreased risks of breast cancer (OR = 0.989, 95% CI 0.981-0.998, p = 0.016), lymphoma (OR = 0.999, 95% CI 0.974-0.999, p = 0.003), malignant melanoma (OR = 0.999, 95% CI 0.989-0.999, p = 0.001), and non-melanoma skin cancer (OR = 0.999, 95% CI 0.899-0.999, p = 0.003). Our MR study provides an evidence of causal association between T1D and altered risks of various site-specific cancers. Further research is recommended to validate this finding in diverse populations to enhance the generalizability of findings across different ethnic groups."
40175335,Systems epigenetic approach towards non-invasive breast cancer detection.,"No study has systematically compared the suitability of DNA methylation (DNAme) profiles in non-invasive samples for the detection of breast cancer (BC). We assess non-tumour DNAme in 1,100 cervical, buccal, and blood samples from BC cases and controls and find that cervical samples exhibit the largest nuber of differentially methylated sites, followed by buccal samples. No sites were significant in blood after FDR adjustment. Deriving DNAme-based classifiers for BC detection in each sample type (WID-buccal-, cervical-, or blood-BC), we achieve validation AUCs of 0.75, 0.66, and 0.51, respectively. Buccal and cervical BC-associated DNAme alterations distinguish between BC cases and controls in both surrogate and breast tissue (AUC > 0.88), yet individual sites and the directionality of methylation changes are not identical between these two sample types, and buccal sample DNAme aligns with breast methylation changes more closely. Pending additional validation, these insights may have the potential to improve non-invasive personalized BC prevention."
40173332,Voluntary Exercise Attenuates Tumor Growth in a Preclinical Model of Castration-Resistant Prostate Cancer.,"PURPOSE: To examine the effects of voluntary wheel running on tumor growth and explore potential intratumoral molecular pathways responsible for the beneficial effects of voluntary wheel running on tumor formation and progression in a mouse model of Castration-Resistant Prostate Cancer (CRPC). METHODS: Male immunodeficient mice (SCID) were castrated and subcutaneously inoculated with human CWR-22RV1 cancer cells to construct CRPC xenograft model before assigned to either voluntary wheel running (VWR) or sedentary (SED) group (n = 6/group). Tumor size was measured and calculated throughout the study. After three weeks, tumor tissues were collected. mRNA expression of markers of DNA replication, Androgen Receptor (AR) signaling, and mitochondrial dynamics was determined by RT-PCR. Protein expression of mitochondrial dynamics was determined by western blotting. Finally, transcriptomics analysis was performed using the tumor tissues. RESULTS: Voluntary wheel running resulted in smaller tumor volume at the initial stage and attenuated tumor progression throughout the time course (P < 0.05). The reduction of tumor volume in the VWR group coincided with lower mRNA expression of DNA replication markers (MCM2, MCM6, and MCM7), AR signaling (ELOVL5 and FKBP5) and regulatory proteins of mitochondrial fission (Drp1 and Fis1) and fusion (MFN1 and OPA1) when compared to the SED group (P < 0.05). RNA sequencing data further revealed that pathways related to angiogenesis, extracellular matrix formation and endothelial cell proliferation were downregulated. CONCLUSIONS: Three weeks of voluntary wheel running was effective in delaying tumor formation and progression, which coincided with reduced transcription of DNA replication, AR signaling targets and mitochondrial dynamics. We further identified a downregulation in molecular pathways related to angiogenesis that may be responsible for the delayed tumor formation and progression by voluntary wheel running."
40172755,Genomic features of liquid biopsies from patients with prostate cancer with and without ductal adenocarcinoma.,"Ductal adenocarcinoma of the prostate (DA) is relatively rare and highly co-existent with prostate adenocarcinoma (AC). This study aimed to investigate the distinctive genomic profiles of patients with DA compared to those without. Blood samples were obtained from 144 patients (36 with DA and 108 without DA) who were diagnosed from 2017 to 2023 at West China Hospital. We performed cell-free DNA sequencing to investigate the genomic differences between patients with DA [DA(+)] and those without [DA(-)], and explored the potential associations between their mutational status and prognosis. Pathogenic and likely pathogenic alterations were included for analysis. We identified that AR pathway [16/36 (44.4%) versus 24/108 (22.2%), p = 0.017] and WNT pathway [6/36 (16.7%) versus 5/108 (4.6%), p = 0.029] mutations were significantly enriched in DA(+) compared to DA(-) patients. Mutation of FOXA1, as a key component of the AR pathway, demonstrated markedly higher prevalence in the DA(+) over the DA(-) cohort [25% (9/36) versus 4.6% (5/108), p = 0.0012]. The DNA damage repair mutation rate and the homologous recombination repair deficiency scores appeared to be comparable between the DA(+) and DA(-) patients. In the metastatic population, DA was characterized by a higher speckle-type POZ protein (SPOP) mutation rate. TP53 mutation was associated with a deteriorating prognosis for both DA(+) and DA(-) patients in terms of castration-free survival. In conclusion, our findings provide further genomic insights into prostate cancer with ductal morphology and are instructive for the diagnosis and treatment of DA."
40172705,Evaluating TGF-beta1 gene expression and promoter polymorphism in cervical cancer progression.,"This study aims to investigate the TGF-beta1 gene, which has significant prognostic value for early detection and diagnosis of cervical cancer, as well as TGF-beta1 gene mRNA and protein expression and the association of promoter region (-509 C>T) polymorphisms with cervical cancer (CC) development. Transcriptome analysis, immunohistochemistry, and RT-PCR were conducted to determine the gene expression of TGF-beta1. The PCR-SSCP and Sanger sequencing methods were employed to test and validate the TGF-beta1 -509C>T promoter polymorphism in cervical squamous cell carcinoma in comparison to control samples. TGF-beta1 is a cytokine that plays a role in tumorigenesis as well as physiological and pathological processes. It appeared as one of the most over-expressed genes identified through the clariom D transcriptome microarray, which describes its role in cancer progression. The results showed a significant TGF-beta1 upregulation in CC compared to normal cervical tissue was confirmed using immunohistochemistry and real-time PCR. The levels of TGF-beta1 were also determined using a receiver operating characteristic (ROC) curve to distinguish diseased from normal individuals. TGF-beta1 ROC showed good selectivity in distinguishing malignant CC from non-malignant cervical tissues. The -509 C>T promoter polymorphism in the TGF-beta1 gene is found to be significantly more common in the disease group, and in-silico analysis (using the AliBaba2.0 gene regulation tool) confirms its correlation to the loss of myogenin transcription factor binding site, may resulting in TGF-beta1 overexpression."
40169664,Genome assembly resources of genitourinary cancers for chromosomal aberration at the single nucleotide level.,"Traditionally, the evolutionary perspective of cancer has been understood as gradual alterations in passenger/driver genes that lead to branching phylogeny. However, in cases of prostate adenocarcinoma and kidney renal cell carcinoma, macroevolutionary landmarks like chromoplexy and chromothripsis are frequently observed. Unfortunately, short-read sequencing techniques often miss these significant macroevolutionary changes, which involve multiple translocations and deletions at the chromosomal level. To resolve such genomic dark matters, we provided high-fidelity long-read sequencing data (78-92 Gb of ~Q30 reads) of six genitourinary tumour cell lines (one benign kidney tumour and two kidney and three prostate cancers). Based on these data, we obtained 12 high-quality, partially phased genome assemblies (Contig N50 1.85-29.01 Mb; longest contig 2.02-171.62 Mb), graph-based pan-genome variant sets (11.57 M variants including 60 K structural variants), and 5-methylcytosine sites (14.68%-27.05% of the CpG sites). We also identified several severe chromosome aberration events, which would result from chromosome break and fusion events. Our cancer genome assemblies will provide unprecedented resolution to understand cancer genome instability and chromosomal aberration."
40168262,Transcriptomic profile induced by calcitriol in CaSki human cervical cancer cell line.,"The vitamin D endocrine system, primarily mediated by its main metabolite calcitriol and the vitamin D receptor (VDR), plays a critical role in numerous human physiological processes, ranging from calcium metabolism to the prevention of various tumors, including cervical cancer. In this study, we comprehensively investigated the genomic regulatory effects of calcitriol in a cervical cancer model. We examined the transcriptional changes induced by calcitriol in CaSki cells, a cervical cell line harboring multiple copies of HPV16, the primary causal agent of cervical cancer. Our microarray findings, revealed that calcitriol regulated over 1000 protein-coding genes, exhibiting a predominantly repressive effect on the CaSki cell transcriptome by suppressing twice as many genes as it induced. Calcitriol decreased EPHA2 and RARA expression while inducing KLK6 and CYP4F3 expression in CaSki cells, as validated by qPCR and Western blot. Functional analysis demonstrated that calcitriol effectively inhibited key processes involved in cancer progression, including cell proliferation and migration. This was further supported by the significant downregulation of MMP7 and MMP13 mRNA levels. Our microarray results also showed that, in addition to its effects on protein-coding genes, calcitriol significantly regulates non-coding RNAs, altering the expression of approximately 400 non-coding RNAs, including 111 microRNA precursors and 29 mature microRNAs, of which 17 were upregulated and 12 downregulated. Notably, among these calcitriol-regulated microRNAs are some involved in cervical cancer biology, such as miR-6129, miR-382, miR-655, miR-211, miR-590, miR-130a, miR-301a, and miR-1252. Collectively, these findings suggest that calcitriol exhibits a significant antitumor effect in this advanced cervical cancer model by blocking critical processes for tumor progression, underscoring the importance of maintaining adequate vitamin D nutritional status."
40168059,"SiaQuant Unveils Serum alpha2,3/alpha2,6 Sialylation Heterogeneities and Predicts Neoadjuvant Chemotherapy Response in Locally Advanced Cervical Cancer.","Sialylation significantly influences tumor progression, invasion, and metastasis. Accurately characterizing sialylated N-glycopeptides (SGPs), particularly the linkage-specific analysis of alpha2,3,alpha2,6 sialic acids, remains a challenging yet crucial task in glycoproteomics. Notably, to date, there is a notable lack of detailed studies on alpha2,3/alpha2,6 sialylation in serum. Here, we present SiaQuant, an integrated strategy that employs liquid chromatography-ion mobility-tandem mass spectrometry (LC-IM-MS/MS), capitalizing on the distinctive separation of characteristic isomeric glycan fragments in ion mobility to accurately analyze serum alpha2,3/alpha2,6 sialylation patterns. It first provides proteome-wide insights into alpha2,3/alpha2,6 sialylation in serum, revealing three-dimensional heterogeneities across N-glycans, N-glycosites, and N-glycoproteins. Additionally, SiaQuant identifies potential candidate biomarkers for neoadjuvant chemotherapy (NACT) response in locally advanced cervical cancer (LACC), where the elevated level of alpha2,3/alpha2,6 sialylation was found to be associated with NACT resistance. In summary, SiaQuant offers the most comprehensive site- and linkage-specific N-glycosylation profiling of serum and shows great potential in clinical usage."
40167119,High-Purity CTC RNA Sequencing Identifies Prostate Cancer Lineage Phenotypes Prognostic for Clinical Outcomes.,"Treatment resistance remains a universal driver of lethal metastatic prostate cancer, associated with acquired genomic alterations and lineage transitions. Using a novel high-purity CTC isolation approach for CTC transcriptional profiling, we identified four lineage phenotypes differentially associated with prognosis in metastatic prostate cancer."
40166741,Causes of evolutionary divergence in prostate cancer.,"Cancer progression involves the sequential accumulation of genetic alterations that cumulatively shape the tumour phenotype. In prostate cancer, tumours can follow divergent evolutionary trajectories that lead to distinct subtypes, but the causes of this divergence remain unclear. While causal inference could elucidate the factors involved, conventional methods are unsuitable due to the possibility of unobserved confounders and ambiguity in the direction of causality. Here, we propose a method that circumvents these issues and apply it to genomic data from 829 prostate cancer patients. We identify several genetic alterations that drive divergence as well as others that prevent this transition, locking tumours into one trajectory. Further analysis reveals that these genetic alterations may cause each other, implying a positive-feedback loop that accelerates divergence. Our findings provide insights into how cancer subtypes emerge and offer a foundation for genomic surveillance strategies aimed at monitoring the progression of prostate cancer."
40166351,Stochastically Emergent Tumors offer in vivo whole genome interrogation of cancer evolution from non-malignant precursors.,"Interrogating the stochastic events underlying tumor evolution from non-malignant precursors is crucial for understanding therapy resistance. Current methods are complicated by chromosomal instability, obscuring driver identification and yielding non-representative genetics. Inspired by patient tumors that evolve without chromosomal instability, we developed Stochastically Emergent Tumors (SETs) by inducing mismatch repair deficiency in non-malignant precursors, then engrafting in mice. Barcoded SETs exhibited increased tumoral and drug target heterogeneity over current models. SETs delineated the stochastic contributions, mutational landscapes, and selective pressures distinguishing tumorigenesis from non-malignant precursor in vitro growth. SETs are an unlimited source for diverse Stochastically Emergent cell Lines (SELs), bolstering under-represented cancers. Since SETs composition dynamically reflects therapy exposure, they are a whole-genome platform for precision oncology. We identified three novel genetic drivers (ZFHX3, CIC, KMT2D) of differential prostate cancer therapy responses. These alterations are enriched in patients of African and Chinese ancestry and correlate with significant differences in survival."
40165885,"Exploring therapeutic applications of PTEN, TMPRSS2:ERG fusion, and tumour molecular subtypes in prostate cancer management.","BACKGROUND: Prostate cancer is defined by the suppression of genes that suppress tumours and the activation of proto-oncogenes. These are the hallmarks of prostate cancer, and they have been linked to numerous genomic variations, which lead to unfavourable treatment outcomes. Prostate cancer can be categorised into various risk groups of tumour molecular subtypes grounded in the idea of genomic structural variations connected to TMPRSS2:ERG fusion and loss of PTEN. Research suggests that certain genomic alterations may be more prevalent or exhibit different patterns in prostate cancer tumours across populations. Studies have reported a higher frequency of PTEN loss and TMPRSS2:ERG fusion in prostate tumours of Black/African American men, which may contribute to the more aggressive nature of the disease in this population. Thus, therapeutically important information can be obtained from these structural variations, including correlations with poor prognosis and disease severity. METHODS: Peer-reviewed articles from 1998 to 2024 were sourced from PubMed and Google Scholar. During the review process, the following search terms were employed: ""Tumour suppressor genes OR variations OR alterations OR oncogenes OR diagnostics OR ethnicity OR biomarkers OR prostate cancer genomics OR prostate cancer structural variations OR tumour and molecular subtypes OR therapeutic implications OR immunotherapy OR immunogenetics."" RESULTS: There was a total of 13,012 results for our search query: 5,903 publications from Google Scholar with the patent and citation unchecked filer options, and 7127 articles from PubMed with the abstract, free full text, and full-text options selected. Unpublished works were not involved. Except for four articles published between 1998 and 1999, all other selected articles published in 2000 and later were considered. However, papers with irrelevant information or redundant or duplicate content were not chosen for this review. Thus, 134 met the inclusion criteria and were ultimately retained for this review. CONCLUSION: This review extracted 134 relevant articles about genomic structure variations in prostate cancer. Our findings demonstrate the importance of PTEN and TMPRSS2:ERG fusion and tumour molecular subtyping in prostate cancer precision medicine."
40165597,Role of SIRT7 in Prostate Cancer Progression: New Insight Into Potential Therapeutic Target.,"Prostate cancer (PCa) is the second most common cancer in men worldwide, and understanding its molecular mechanisms is crucial for developing effective treatment strategies. SIRT7, a NAD+-dependent histone deacetylase, has emerged as a key regulator in PCa progression due to its roles in chromatin remodeling, DNA repair, and transcriptional regulation. Analysis of 492 PCa samples from The Cancer Genome Atlas (TCGA) via cBioPortal revealed that high SIRT7 expression is associated with poor prognosis in PCa patients. Mechanistically, SIRT7 deacetylates histone H3 at lysine 18 (H3K18Ac), a marker associated with aggressive tumors, suppressing tumor suppressor genes and promoting cancer cell proliferation and survival. Epithelial-mesenchymal transition (EMT) is a cellular biological process in which epithelial cells undergo specific molecular and morphological changes to transform into cells with characteristics of mesenchymal cells. SIRT7 also regulates EMT, and inhibiting SIRT7 in PCa cell lines reduces cell migration and invasion, highlighting its potential as a therapeutic target. In summary, the clinical significance of SIRT7 expression in PCa requires further research to elucidate its mechanisms. Developing specific inhibitors targeting SIRT7's deacetylase activity is a promising therapeutic strategy. SIRT7 plays a crucial role in regulating biological processes such as cell proliferation, cell cycle, and apoptosis in PCa through its epigenetic control of gene expression and maintenance of genomic stability. Therefore, SIRT7 may be a potential therapeutic target for PCa, and its expression could have prognostic value for PCa patients, providing important guidance for clinical monitoring and diagnosis by physicians."
